80,2018/2019,Paris Saint-Germain,27/01/2019,Rennes,Domicile,Parc des Princes,Ligue 1 Conforama,4 - 1,Pied droit,Julian Draxler,T. Koubek,66',https://www.youtube.com/watch?v=aE-0JQDKQkY,03:23
81,2018/2019,Paris Saint-Germain,12/02/2019,Man United,Exterieur,Old Trafford,Ligue des Champions,0 - 2,Pied droit,Di Maria,D. de Gea,60',https://www.youtube.com/watch?v=sUwU8EitKnU,00:30
82,2018/2019,Paris Saint-Germain,17/02/2019,ASSE,Exterieur,Stade Geoffroy-Guichard,Ligue 1 Conforama,0 - 1,Pied droit,Dani Alves,S. Ruffier,73',https://www.youtube.com/watch?v=cN8nNCa-AV0,00:10
83,2018/2019,Paris Saint-Germain,20/02/2019,Montpellier,Domicile,Parc des Princes,Ligue 1 Conforama,5 - 1,Pied droit,Layvin Kurzawa,B. Lecompte,79',https://www.youtube.com/watch?v=WUfeEFGnjlU,02:13
84,2018/2019,Paris Saint-Germain,23/02/2019,Nîmes,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 0,Pied droit,Juan Bernat,P. Bernardoni,69',https://www.youtube.com/watch?v=hNHEyDSPIsk,01:59
85,2018/2019,Paris Saint-Germain,23/02/2019,Nîmes,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 0,Pied droit,Christopher Nkunku,P. Bernardoni,89',https://www.youtube.com/watch?v=hNHEyDSPIsk,02:32
86,2018/2019,Paris Saint-Germain,02/03/2019,Caen,Exterieur,Stade Michel d'Ornano,Ligue 1 Conforama,1 - 2,Pied droit (peno),,B. Samba,59',https://www.youtube.com/watch?v=cFcmPOr0gIo,02:28
87,2018/2019,Paris Saint-Germain,02/03/2019,Caen,Exterieur,Stade Michel d'Ornano,Ligue 1 Conforama,1 - 2,Pied droit,,B. Samba,87',https://www.youtube.com/watch?v=cFcmPOr0gIo,02:58
88,2018/2019,Paris Saint-Germain,12/03/2019,Dijon,Exterieur,Stade Gaston-Gérard,Ligue 1 Conforama,0 - 4,Pied droit,Layvin Kurzawa,R. Rúnarsson,40',https://www.youtube.com/watch?v=EEf7Oj0YKLU,01:01
89,2018/2019,Paris Saint-Germain,17/03/2019,Marseille,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 1,Pied droit,Di Maria,S. Mandanda,45'+2,https://www.youtube.com/watch?v=AUHa5cRc8RA,01:03
90,EURO 2020,Equipe de France,22/03/2019,Moldavie,Exterieur,Stadionul Zimbru,Éliminatoires Euro,1 - 4,Pied droit,T. Lemar,A. Coșelev,87',https://www.youtube.com/watch?v=p9HmZtr6_jc,03:04
91,EURO 2020,Equipe de France,25/03/2019,Islande,Domicile,Stade de France,Éliminatoires Euro,4 - 0,Pied droit,??,H. Halldorsson,78',https://www.youtube.com/watch?v=zOEO5IbafD0,03:12
92,2018/2019,Paris Saint-Germain,31/03/2019,Toulouse,Exterieur,Stadium de Toulouse,Ligue 1 Conforama,0 - 1,Pied droit,Thilo Kehrer,B. Reynet,74',https://www.youtube.com/watch?v=8r4AvD4BvX8,01:52
93,2018/2019,Paris Saint-Germain,03/04/2019,Nantes,Domicile,Parc des Princes,Coupe de France,3 - 0,Pied droit (peno),,C. Tătăruşanu,85',https://www.youtube.com/watch?v=Up8Uku2kkfo,02:57
94,2018/2019,Paris Saint-Germain,21/04/2019,Monaco,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 1,Pied droit,Moussa Diaby,D. Subašić,15',https://www.youtube.com/watch?v=lDqCH2AgiDg,00:43
95,2018/2019,Paris Saint-Germain,21/04/2019,Monaco,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 1,Pied droit,Dani Alves,D. Subašić,38',https://www.youtube.com/watch?v=lDqCH2AgiDg,01:09
96,2018/2019,Paris Saint-Germain,21/04/2019,Monaco,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 1,Pied gauche,Dani Alves,D. Subašić,55',https://www.youtube.com/watch?v=lDqCH2AgiDg,02:13
97,2018/2019,Paris Saint-Germain,18/05/2019,Dijon,Domicile,Parc des Princes,Ligue 1 Conforama,4 - 0,Pied droit,,R. Rúnarsson,36',https://www.youtube.com/watch?v=1m6j50B3nK8,01:30
98,2018/2019,Paris Saint-Germain,18/05/2019,Dijon,Domicile,Parc des Princes,Ligue 1 Conforama,4 - 0,Pied droit,Leandro Paredes,R. Rúnarsson,56',https://www.youtube.com/watch?v=1m6j50B3nK8,02:14
99,2018/2019,Paris Saint-Germain,24/05/2019,Reims,Exterieur,Stade Auguste-Delaune II,Ligue 1 Conforama,3 - 1,Pied droit,Edinson Cavani,E. Mendy,59',https://www.youtube.com/watch?v=-GBY6c1uDwM,03:02
